Crash ID,Latitude,Longitude,Year,Severity
CAL-00000001,14.65,120.97,2016,Fatal
CAL-00000002,14.65,120.97,2016,Fatal
CAL-00000003,14.65,120.97,2016,Fatal
CAL-00000004,14.65,120.97,2016,Fatal
CAL-00000005,14.65,120.97,2016,Fatal
CAL-00000006,14.65,120.97,2016,Fatal
CAL-00000007,14.65,120.97,2016,Fatal
CAL-00000008,14.65,120.97,2016,Fatal
CAL-00000009,14.65,120.97,2016,Fatal
CAL-00000010,14.65,120.97,2016,Fatal
CAL-00000011,14.65,120.97,2016,Fatal
CAL-00000012,14.65,120.97,2016,Fatal
CAL-00000013,14.65,120.97,2016,Fatal
CAL-00000014,14.65,120.97,2016,Fatal
CAL-00000015,14.65,120.97,2016,Fatal
CAL-00000016,14.65,120.97,2016,Fatal
CAL-00000017,14.65,120.97,2016,Fatal
CAL-00000018,14.65,120.97,2016,Fatal
CAL-00000019,14.65,120.97,2016,Fatal
CAL-00000020,14.65,120.97,2016,Fatal
CAL-00000021,14.65,120.97,2016,Fatal
CAL-00000022,14.65,120.97,2016,Fatal
CAL-00000023,14.65,120.97,2016,Fatal
CAL-00000024,14.65,120.97,2016,Fatal
CAL-00000025,14.65,120.97,2016,Fatal
CAL-00000026,14.65,120.97,2016,Fatal
CAL-00000027,14.65,120.97,2016,Fatal
CAL-00000028,14.65,120.97,2016,Fatal
CAL-00000029,14.65,120.97,2016,Fatal
CAL-00000030,14.65,120.97,2016,Fatal
CAL-00000031,14.65,120.97,2016,Fatal
CAL-00000032,14.65,120.97,2016,Fatal
CAL-00000033,14.65,120.97,2016,Fatal
CAL-00000034,14.65,120.97,2016,Fatal
CAL-00000035,14.65,120.97,2016,Fatal
CAL-00000036,14.65,120.97,2016,Fatal
