Crash ID,Latitude,Longitude,Year,Severity
NCR-00000001,14.676,121.0437,2019,Fatal
NCR-00000002,14.676,121.0437,2019,Fatal
NCR-00000003,14.676,121.0437,2019,Fatal
NCR-00000004,14.676,121.0437,2019,Fatal
NCR-00000005,14.676,121.0437,2019,Fatal
NCR-00000006,14.676,121.0437,2019,Fatal
NCR-00000007,14.676,121.0437,2019,Fatal
NCR-00000008,14.676,121.0437,2019,Fatal
NCR-00000009,14.676,121.0437,2019,Fatal
NCR-00000010,14.676,121.0437,2019,Fatal
NCR-00000011,14.676,121.0437,2019,Fatal
NCR-00000012,14.676,121.0437,2019,Fatal
NCR-00000013,14.676,121.0437,2019,Fatal
NCR-00000014,14.676,121.0437,2019,Fatal
NCR-00000015,14.676,121.0437,2019,Fatal
NCR-00000016,14.676,121.0437,2019,Fatal
NCR-00000017,14.676,121.0437,2019,Fatal
NCR-00000018,14.676,121.0437,2019,Fatal
NCR-00000019,14.676,121.0437,2019,Fatal
NCR-00000020,14.676,121.0437,2019,Fatal
NCR-00000021,14.676,121.0437,2019,Fatal
NCR-00000022,14.676,121.0437,2019,Fatal
NCR-00000023,14.676,121.0437,2019,Fatal
NCR-00000024,14.676,121.0437,2019,Fatal
NCR-00000025,14.676,121.0437,2019,Fatal
NCR-00000026,14.676,121.0437,2019,Fatal
NCR-00000027,14.676,121.0437,2019,Fatal
NCR-00000028,14.676,121.0437,2019,Fatal
NCR-00000029,14.676,121.0437,2019,Fatal
NCR-00000030,14.676,121.0437,2019,Fatal
NCR-00000031,14.676,121.0437,2019,Fatal
NCR-00000032,14.676,121.0437,2019,Fatal
NCR-00000033,14.676,121.0437,2019,Fatal
NCR-00000034,14.676,121.0437,2019,Fatal
NCR-00000035,14.676,121.0437,2019,Fatal
NCR-00000036,14.676,121.0437,2019,Fatal
NCR-00000037,14.676,121.0437,2019,Fatal
NCR-00000038,14.676,121.0437,2019,Fatal
NCR-00000039,14.676,121.0437,2019,Fatal
NCR-00000040,14.676,121.0437,2019,Fatal
NCR-00000041,14.676,121.0437,2019,Fatal
NCR-00000042,14.676,121.0437,2019,Fatal
NCR-00000043,14.676,121.0437,2019,Fatal
NCR-00000044,14.676,121.0437,2019,Fatal
NCR-00000045,14.676,121.0437,2019,Fatal
NCR-00000046,14.676,121.0437,2019,Fatal
NCR-00000047,14.676,121.0437,2019,Fatal
NCR-00000048,14.676,121.0437,2019,Fatal
NCR-00000049,14.676,121.0437,2019,Fatal
NCR-00000050,14.676,121.0437,2019,Fatal
NCR-00000051,14.676,121.0437,2019,Fatal
NCR-00000052,14.676,121.0437,2019,Fatal
NCR-00000053,14.676,121.0437,2019,Fatal
NCR-00000054,14.676,121.0437,2019,Fatal
NCR-00000055,14.676,121.0437,2019,Fatal
NCR-00000056,14.676,121.0437,2019,Fatal
NCR-00000057,14.676,121.0437,2019,Fatal
NCR-00000058,14.676,121.0437,2019,Fatal
NCR-00000059,14.676,121.0437,2019,Fatal
NCR-00000060,14.676,121.0437,2019,Fatal
NCR-00000061,14.676,121.0437,2019,Fatal
NCR-00000062,14.676,121.0437,2019,Fatal
NCR-00000063,14.676,121.0437,2019,Fatal
NCR-00000064,14.676,121.0437,2019,Fatal
NCR-00000065,14.676,121.0437,2019,Fatal
NCR-00000066,14.676,121.0437,2019,Fatal
NCR-00000067,14.676,121.0437,2019,Fatal
NCR-00000068,14.676,121.0437,2019,Fatal
NCR-00000069,14.676,121.0437,2019,Fatal
