LATITUDE,LONGITUDE,Fatal,Non Fatal Injury,Damage,Grand Total
14.6760,121.0437,125,8607,25984,34716
14.5794,121.0359,6,652,2971,3629
14.6507,121.1029,15,1311,2238,3564
14.5755,121.0855,22,1140,4830,5992
14.6019,121.0355,4,277,957,1238
14.6546,120.9839,23,705,1590,2318
14.6628,120.9567,4,115,251,370
14.6500,120.9417,7,64,173,244
14.7002,120.9836,13,416,495,924
14.4506,120.9828,21,980,1906,2907
14.5547,121.0244,18,1102,5041,6161
14.4133,121.0456,19,762,1611,2392
14.4972,121.0195,30,1068,3577,4675
14.5378,121.0014,11,466,2142,2619
14.5417,121.0686,0,48,123,171
14.5176,121.0509,42,2198,5189,7429
14.5995,120.9842,67,1999,6686,8752
14.6042,121.0182,427,21910,65764,88101

