crash_id, latitude          , longitude         , date     , severity, vehicle_type
EDSA_001, 14.652483570765057, 121.02430867849415, 1/7/2024 , Major   , Motorcycle
EDSA_002, 14.645415865780908, 121.02437926409864, 1/8/2024 , Minor   , Car
EDSA_003, 14.647095609329883, 121.02237415096411, 1/22/2024, Minor   , Car
EDSA_004, 14.63780447092472 , 121.0280172061252 , 1/15/2024, Minor   , Truck
EDSA_005, 14.657328243844608, 121.02387111849757, 1/25/2024, Minor   , Motorcycle
EDSA_006, 14.650611095826113, 121.02242282168955, 1/4/2024 , Minor   , Car
EDSA_007, 14.650475628921585, 121.02832327171376, 1/2/2024 , Minor   , Car
EDSA_008, 14.646991466938854, 121.03426139092255, 1/15/2024, Minor   , Motorcycle
EDSA_009, 14.648067635247177, 121.01920614879037, 1/30/2024, Minor   , Bus
EDSA_010, 14.663891565207763, 121.03096819862142, 1/26/2024, Minor   , Truck
EDSA_011, 14.639108328765882, 121.01978051795884, 1/15/2024, Fatal   , Bus
EDSA_012, 14.649421758588058, 121.02349448152206, 1/21/2024, Minor   , Car
EDSA_013, 14.652304081500743, 121.02542961735816, 1/29/2024, Major   , Car
EDSA_014, 14.652910613973566, 121.02943874229797, 1/5/2024 , Major   , Bus
EDSA_015, 14.65105793506163 , 121.0279852232309 , 1/12/2024, Fatal   , Bus
EDSA_016, 14.578083303048619, 121.02925736409334, 2/3/2024 , Minor   , Motorcycle
EDSA_017, 14.573703378852224, 121.0325518117729 , 2/15/2024, Major   , Motorcycle
EDSA_018, 14.583891854135024, 121.03318238185558, 2/7/2024 , Major   , Bus
EDSA_019, 14.57939786456696 , 121.02613776931243, 2/17/2024, Minor   , Bus
EDSA_020, 14.580367043106142, 121.0220497243416 , 2/13/2024, Fatal   , Car
EDSA_021, 14.574325614147938, 121.03076134793986, 2/19/2024, Fatal   , Motorcycle
EDSA_022, 14.582005793326099, 121.03463274661173, 2/12/2024, Major   , Bus
EDSA_023, 14.583850565159999, 121.02916123025265, 2/25/2024, Minor   , Car
EDSA_024, 14.577191787624491, 121.0286893514136 , 2/20/2024, Minor   , Motorcycle
EDSA_025, 14.574602440107068, 121.02592370885853, 2/5/2024 , Minor   , Motorcycle
EDSA_026, 14.575614936818875, 121.0336595372877 , 2/24/2024, Minor   , Car
EDSA_027, 14.576227772766131, 121.03561583495464, 2/7/2024 , Fatal   , Truck
EDSA_028, 14.514243686354103, 121.01992045837365, 3/17/2024, Minor   , Car
EDSA_029, 14.519806865847597, 121.02103470700513, 3/1/2024 , Minor   , Car
EDSA_030, 14.51827587237716 , 121.01873550533898, 3/23/2024, Minor   , Truck
EDSA_031, 14.523428468443544, 121.02225579909806, 3/24/2024, Minor   , Bus
EDSA_032, 14.521068479491168, 121.01993435737698, 3/16/2024, Minor   , Bus
EDSA_033, 14.51851970255339 , 121.02276948782502, 3/20/2024, Minor   , Car
EDSA_034, 14.516709743104268, 121.01795309530823, 3/20/2024, Major   , Bus
EDSA_035, 14.516813088858822, 121.02142077729191, 3/18/2024, Minor   , Car
EDSA_036, 14.521445937417008, 121.02277936907586, 3/30/2024, Major   , Car
EDSA_037, 14.516916867407733, 121.02222372190514, 3/20/2024, Minor   , Truck
EDSA_038, 14.608895173506802, 121.02418522909004, 4/5/2024 , Minor   , Truck
EDSA_039, 14.720125417149   , 121.06331014572733, 4/19/2024, Minor   , Bus
EDSA_040, 14.667786703661072, 121.08971102599526, 4/1/2024 , Major   , Truck
EDSA_041, 14.642609493846287, 121.0084139964995 , 4/8/2024 , Minor   , Motorcycle
EDSA_042, 14.631928717897877, 121.00091970516166, 4/25/2024, Minor   , Bus
EDSA_043, 14.451518475153865, 121.01608080514175, 4/3/2024 , Minor   , Motorcycle
EDSA_044, 14.64558837785078 , 121.02242693094605, 4/14/2024, Minor   , Car
EDSA_045, 14.54761990944778 , 121.0746491405118 , 4/3/2024 , Minor   , Bus
